DANH MỤC TỪ VIẾT TẮT

STT     Từ viết tắt     Tiếng Anh                                           Tiếng Việt
----    -----------     -------------------------------------------------   --------------------------------------------------
1       ACID            Atomicity, Consistency, Isolation, Durability       Tính nguyên tử, nhất quán, độc lập, bền vững
2       API             Application Programming Interface                   Giao diện lập trình ứng dụng
3       ASGI            Asynchronous Server Gateway Interface               Giao diện cổng máy chủ bất đồng bộ
4       BGĐT            -                                                   Bộ Giáo dục và Đào tạo
5       BKHCN           -                                                   Bộ Khoa học và Công nghệ
6       CDN             Content Delivery Network                            Mạng phân phối nội dung
7       CI/CD           Continuous Integration/Continuous Deployment        Tích hợp liên tục/Triển khai liên tục
8       CNTT            -                                                   Công nghệ Thông tin
9       CORS            Cross-Origin Resource Sharing                       Chia sẻ tài nguyên giữa các nguồn khác nhau
10      CPU             Central Processing Unit                             Bộ xử lý trung tâm
11      CRUD            Create, Read, Update, Delete                        Tạo, Đọc, Cập nhật, Xóa
12      CSS             Cascading Style Sheets                              Bảng định dạng xếp tầng
13      CSDL            -                                                   Cơ sở dữ liệu
14      DB              Database                                            Cơ sở dữ liệu
15      DI              Dependency Injection                                Tiêm phụ thuộc
16      DOCX            Microsoft Word Document XML                         Định dạng văn bản Word
17      DTO             Data Transfer Object                                Đối tượng truyền dữ liệu
18      ĐATN            -                                                   Đồ án tốt nghiệp
19      E2E             End-to-End                                          Kiểm thử đầu cuối
20      ER              Entity-Relationship                                 Thực thể-Quan hệ
21      ERD             Entity-Relationship Diagram                         Sơ đồ thực thể-quan hệ
22      FK              Foreign Key                                         Khóa ngoại
23      FSM             Finite State Machine                                Máy trạng thái hữu hạn
24      GVHD            -                                                   Giảng viên hướng dẫn
25      HĐKH            -                                                   Hội đồng Khoa học
26      HĐNC            -                                                   Hội đồng Nghiệm thu
27      HTML            HyperText Markup Language                           Ngôn ngữ đánh dấu siêu văn bản
28      HTTP            HyperText Transfer Protocol                         Giao thức truyền tải siêu văn bản
29      HTTPS           HyperText Transfer Protocol Secure                  Giao thức truyền tải siêu văn bản bảo mật
30      IDE             Integrated Development Environment                  Môi trường phát triển tích hợp
31      JSON            JavaScript Object Notation                          Ký hiệu đối tượng JavaScript
32      JWT             JSON Web Token                                      Mã xác thực JSON Web
33      LOC             Lines of Code                                       Số dòng mã
34      MVC             Model-View-Controller                               Mô hình-Hiển thị-Điều khiển
35      NCKH            -                                                   Nghiên cứu Khoa học
36      NFR             Non-Functional Requirement                          Yêu cầu phi chức năng
37      NPM             Node Package Manager                                Trình quản lý gói Node
38      OOP             Object-Oriented Programming                         Lập trình hướng đối tượng
39      ORM             Object-Relational Mapping                           Ánh xạ đối tượng-quan hệ
40      OWASP           Open Web Application Security Project               Dự án Bảo mật Ứng dụng Web Mở
41      PDF             Portable Document Format                            Định dạng tài liệu di động
42      PK              Primary Key                                         Khóa chính
43      qlNCKH          -                                                   Quản lý Nghiên cứu Khoa học
44      RAM             Random Access Memory                                Bộ nhớ truy cập ngẫu nhiên
45      RBAC            Role-Based Access Control                           Kiểm soát truy cập dựa trên vai trò
46      RDBMS           Relational Database Management System               Hệ quản trị cơ sở dữ liệu quan hệ
47      REST            Representational State Transfer                     Kiến trúc truyền tải trạng thái
48      SHA             Secure Hash Algorithm                               Thuật toán băm bảo mật
49      SLA             Service Level Agreement                             Thỏa thuận mức dịch vụ
50      SPA             Single Page Application                             Ứng dụng đơn trang
51      SQL             Structured Query Language                           Ngôn ngữ truy vấn có cấu trúc
52      SSD             Solid State Drive                                   Ổ đĩa thể rắn
53      SSL             Secure Sockets Layer                                Lớp cổng bảo mật
54      TDD             Test-Driven Development                             Phát triển hướng kiểm thử
55      TLS             Transport Layer Security                            Bảo mật tầng vận chuyển
56      TS              TypeScript                                          Ngôn ngữ TypeScript
57      TTL             Time To Live                                        Thời gian tồn tại
58      UI              User Interface                                      Giao diện người dùng
59      UML             Unified Modeling Language                           Ngôn ngữ mô hình hóa thống nhất
60      URL             Uniform Resource Locator                            Định vị tài nguyên thống nhất
61      UTC             Coordinated Universal Time                          Giờ phối hợp quốc tế
62      UUID            Universally Unique Identifier                       Định danh duy nhất toàn cầu
63      UX              User Experience                                     Trải nghiệm người dùng
64      WebSocket       Web Socket Protocol                                 Giao thức Socket Web
65      WSL             Windows Subsystem for Linux                         Hệ thống con Linux cho Windows
66      XML             eXtensible Markup Language                          Ngôn ngữ đánh dấu mở rộng
67      XSS             Cross-Site Scripting                                Kịch bản xuyên trang
68      YAML            YAML Ain't Markup Language                          Ngôn ngữ cấu hình YAML


Ghi chú:
- Danh sách bao gồm các từ viết tắt chính được sử dụng trong đồ án
- Từ viết tắt được sắp xếp theo thứ tự alphabet để dễ tra cứu
- Dấu "-" trong cột Tiếng Anh nghĩa là từ viết tắt tiếng Việt
